Quintil_Pobreza,Total_Casos,Total_Poblacion,Tasa_Ponderada,IC95_Lower,IC95_Upper,IC95_Lower_NB,IC95_Upper_NB
Q1 (más desaventajado),143,828407,17.262046312983838,14.485633269636786,20.2798865774915,0.48285444232122615,62.52965028059878
Q2,288,1316768,21.871734428540183,19.36559819193662,24.529757709786384,0.6075481785705606,79.13315025881553
Q3,340,2125057,15.99957083504113,14.305498628977952,17.787758163663373,0.42351805151579464,57.88080037382527
Q4,291,1786748,16.286572029183745,14.439641180513425,18.245438080803787,0.4477408117988659,58.93388435302572
Q5 (más aventajado),182,2254004,8.074519832262942,6.921016999082521,9.316753652611085,0.2218274679193116,29.23686027176527
