Quintil,Casos,Población,"Tasa (x100,000)",IC 95%,Tasa_num,IC_lower,IC_upper
Q1 (más desaventajado),143,"828,407",17.26,(14.55 - 20.33),17.262046312983838,14.548799698958932,20.334441464224327
Q2,288,"1,316,768",21.87,(19.42 - 24.55),21.871734428540183,19.41840554274447,24.54921416407605
Q3,340,"2,125,057",16.00,(14.34 - 17.79),15.99957083504113,14.343912784293119,17.793908793471946
Q4,291,"1,786,748",16.29,(14.47 - 18.27),16.286572029183745,14.468884885321762,18.269433758525118
Q5 (más aventajado),182,"2,254,004",8.07,(6.94 - 9.34),8.074519832262942,6.94400501867836,9.336628665271174
Brecha Q1 vs Q5,,,9.19,(5.21 - 13.39),9.187526480720896,5.212171033687758,13.390436445545966
Razón Q1/Q5,,,2.14,(1.72 - 2.66),2.137841837233562,1.7173315407631502,2.661319385652921
